perf_metric,perf_metric_diff,names,method,perf_metric_name,seed,level
0.5959059829059828,-6.068376068375514e-4,Otu036,svmRadial,AUC,10,family
0.5825,0.012799145299145276,Otu023,svmRadial,AUC,10,family
0.606059829059829,-0.010760683760683731,Otu003,svmRadial,AUC,10,family
0.5951239316239316,1.7521367521367015e-4,Otu030,svmRadial,AUC,10,family
0.5957692307692307,-4.70085470085424e-4,Otu006,svmRadial,AUC,10,family
0.5564529914529914,0.00423076923076926,Otu010,svmRadial,AUC,100,family
0.5586111111111112,0.002072649572649521,Otu038,svmRadial,AUC,100,family
0.5611410256410256,-4.5726495726494676e-4,Otu058,svmRadial,AUC,100,family
0.5621324786324786,-0.0014487179487179258,Otu063,svmRadial,AUC,100,family
0.5638931623931623,-0.003209401709401649,Otu025,svmRadial,AUC,100,family
0.5791538461538461,-0.01847008547008544,Otu014,svmRadial,AUC,100,family
0.556974358974359,0.003709401709401705,Otu048,svmRadial,AUC,100,family
0.5545641025641026,0.006119658119658089,Otu023,svmRadial,AUC,100,family
0.5667905982905982,-0.006106837606837501,Otu022,svmRadial,AUC,100,family
0.5673376068376068,-0.006653846153846121,Otu006,svmRadial,AUC,100,family
0.5446239316239316,0.016059829059829056,Otu004,svmRadial,AUC,100,family
0.5591068376068375,0.0015769230769231424,Otu052,svmRadial,AUC,100,family
0.5537905982905983,0.0068931623931624,Otu034,svmRadial,AUC,100,family
0.5621581196581197,-0.0014743589743589913,Otu007,svmRadial,AUC,100,family
0.5603247863247863,3.5897435897436214e-4,Otu043,svmRadial,AUC,100,family
0.5553888888888889,0.005294871794871758,Otu018,svmRadial,AUC,100,family
0.5618589743589744,-0.001175213675213671,Otu012,svmRadial,AUC,100,family
0.5531495726495727,0.0075341880341880385,Otu035,svmRadial,AUC,100,family
0.5602350427350428,4.487179487179249e-4,Otu008,svmRadial,AUC,100,family
0.5564230769230769,0.004260683760683781,Otu040,svmRadial,AUC,100,family
0.5641025641025641,-0.0034188034188034067,Otu062,svmRadial,AUC,100,family
0.562042735042735,-0.001358974358974363,Otu002,svmRadial,AUC,100,family
0.5639017094017094,-0.003217948717948671,Otu019,svmRadial,AUC,100,family
0.5438247863247863,0.016858974358974432,Otu066,svmRadial,AUC,100,family
0.5633888888888889,-0.002705128205128249,Otu031,svmRadial,AUC,100,family
0.5558119658119658,0.004871794871794899,Otu020,svmRadial,AUC,100,family
0.5606068376068376,7.692307692308553e-5,Otu016,svmRadial,AUC,100,family
0.5669957264957265,-0.006311965811965803,Otu021,svmRadial,AUC,100,family
0.5647991452991453,-0.004115384615384632,Otu042,svmRadial,AUC,100,family
0.5703205128205128,-0.00963675213675208,Otu044,svmRadial,AUC,100,family
0.5592564102564103,0.0014273504273504267,Otu028,svmRadial,AUC,100,family
0.5652179487179487,-0.004534188034188036,Otu011,svmRadial,AUC,100,family
0.5632478632478632,-0.002564102564102555,Otu029,svmRadial,AUC,100,family
0.5432307692307693,0.017452991452991395,Otu033,svmRadial,AUC,100,family
0.5673461538461538,-0.006662393162393143,Otu046,svmRadial,AUC,100,family
0.5544017094017094,0.006282051282051282,Otu013,svmRadial,AUC,100,family
0.567491452991453,-0.006807692307692292,Otu001,svmRadial,AUC,100,family
0.5586709401709402,0.002012820512820479,Otu009,svmRadial,AUC,100,family
0.5608418803418803,-1.5811965811962647e-4,Otu017,svmRadial,AUC,100,family
0.5632777777777778,-0.002594017094017076,Otu024,svmRadial,AUC,100,family
