maxdepth,AUC,seed,level
16,0.5723550394907102,67,family
30,0.5723127358630408,67,family
1,0.5540255481962799,68,family
2,0.5680265374259277,68,family
4,0.5655197213764287,68,family
8,0.5708242641596301,68,family
16,0.5762385172629075,68,family
30,0.5759171314171314,68,family
1,0.5769626978895271,69,family
2,0.6103753160826332,69,family
4,0.5993629932197005,69,family
8,0.600962810589335,69,family
16,0.6037127231761378,69,family
30,0.603908747161796,69,family
1,0.5654116865122962,7,family
2,0.5883915370073907,7,family
4,0.5866698296728785,7,family
8,0.5835696537129464,7,family
16,0.5836375506604166,7,family
30,0.5836164468039469,7,family
1,0.5660665212250579,70,family
2,0.5963474502376941,70,family
4,0.5905062702074897,70,family
8,0.587887364280657,70,family
16,0.5852569932737616,70,family
30,0.5850682956475639,70,family
1,0.5698420755250023,71,family
2,0.5755917337197826,71,family
4,0.5870769831242393,71,family
8,0.5989208468049931,71,family
16,0.5977465071779097,71,family
30,0.5975082453969649,71,family
1,0.5820157369913468,72,family
2,0.5963464038951843,72,family
4,0.5930956546703499,72,family
8,0.5936053649468284,72,family
16,0.5961304281197574,72,family
30,0.5961073074381001,72,family
1,0.5518890946695825,73,family
2,0.585356763122007,73,family
4,0.5946566810713152,73,family
8,0.5980124867899258,73,family
16,0.5971723977897758,73,family
30,0.5972560354343891,73,family
1,0.5688111983935155,74,family
2,0.6111036995183337,74,family
4,0.61611325567728,74,family
8,0.5961300019531727,74,family
16,0.5953412029189469,74,family
30,0.5956487901228755,74,family
1,0.5765028748260456,75,family
2,0.5802630260922944,75,family
4,0.5835193063272331,75,family
8,0.583901416006599,75,family
16,0.5789177348079787,75,family
30,0.5789409104226177,75,family
1,0.56147148891051335,76,family
2,0.5804546327686572,76,family
4,0.589811212780725,76,family
8,0.5990394946340069,76,family
16,0.5947475389152218,76,family
30,0.5944205773717969,76,family
1,0.5732038667587448,77,family
2,0.5944273005583981,77,family
4,0.5988767430322308,77,family
8,0.601229265415241,77,family
16,0.6020379020135118,77,family
30,0.6020729845699357,77,family
1,0.5640393267832292,78,family
2,0.5624976954306222,78,family
4,0.5620512058225473,78,family
8,0.5639940844590235,78,family
16,0.5623206132962231,78,family
30,0.5621942949046608,78,family
1,0.5710035122230244,79,family
2,0.5766904221294465,79,family
4,0.5830391380056015,79,family
8,0.5857696899861534,79,family
16,0.5869072835902104,79,family
30,0.5869044484379851,79,family
1,0.5661518404292795,8,family
2,0.5956884576213844,8,family
4,0.5902441775399092,8,family
8,0.5897774093780191,8,family
16,0.5920389814902011,8,family
30,0.5919553124553125,8,family
1,0.5685600774991019,80,family
2,0.5711270935569716,80,family
4,0.5757056546965084,80,family
8,0.5777978934945398,80,family
16,0.5778968391300708,80,family
30,0.5779859535057705,80,family
1,0.5943905735003296,81,family
2,0.6359615787390178,81,family
4,0.6261520274630031,81,family
8,0.6268469669582475,81,family
