nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,AUC,seed,level
100,4,1,0,0.8,1,0.4,0.5619006292878244,1,order
100,4,1,0,0.8,1,0.5,0.5619690256458549,1,order
100,4,1,0,0.8,1,0.6,0.5699519022506827,1,order
100,4,1,0,0.8,1,0.7,0.574256176908616,1,order
100,8,0.001,0,0.8,1,0.4,0.6306289665100641,1,order
100,8,0.001,0,0.8,1,0.5,0.62790518218567,1,order
100,8,0.001,0,0.8,1,0.6,0.6254003576747479,1,order
100,8,0.001,0,0.8,1,0.7,0.6226127617164202,1,order
100,8,0.01,0,0.8,1,0.4,0.629460208466306,1,order
100,8,0.01,0,0.8,1,0.5,0.6282989601099357,1,order
100,8,0.01,0,0.8,1,0.6,0.623806922776435,1,order
100,8,0.01,0,0.8,1,0.7,0.621803414913171,1,order
100,8,0.1,0,0.8,1,0.4,0.6073240365801341,1,order
100,8,0.1,0,0.8,1,0.5,0.603125057112862,1,order
100,8,0.1,0,0.8,1,0.6,0.6078445056554813,1,order
100,8,0.1,0,0.8,1,0.7,0.6084652361420654,1,order
100,8,1,0,0.8,1,0.4,0.5573221448800717,1,order
100,8,1,0,0.8,1,0.5,0.5660291005291005,1,order
100,8,1,0,0.8,1,0.6,0.570670044609069,1,order
100,8,1,0,0.8,1,0.7,0.5764537882830566,1,order
100,16,0.001,0,0.8,1,0.4,0.6305714765287936,1,order
100,16,0.001,0,0.8,1,0.5,0.6281702643409961,1,order
100,16,0.001,0,0.8,1,0.6,0.6245812075141344,1,order
100,16,0.001,0,0.8,1,0.7,0.6206999473340937,1,order
100,16,0.01,0,0.8,1,0.4,0.6288689403689404,1,order
100,16,0.01,0,0.8,1,0.5,0.6264679932545786,1,order
100,16,0.01,0,0.8,1,0.6,0.6232833482437141,1,order
100,16,0.01,0,0.8,1,0.7,0.6215054680115656,1,order
100,16,0.1,0,0.8,1,0.4,0.6061911144594071,1,order
100,16,0.1,0,0.8,1,0.5,0.6047784238942776,1,order
100,16,0.1,0,0.8,1,0.6,0.6071481926177048,1,order
100,16,0.1,0,0.8,1,0.7,0.607891873580898,1,order
100,16,1,0,0.8,1,0.4,0.5603620942370943,1,order
100,16,1,0,0.8,1,0.5,0.5649534229351303,1,order
100,16,1,0,0.8,1,0.6,0.5714460863302326,1,order
100,16,1,0,0.8,1,0.7,0.573837257989697,1,order
100,30,0.001,0,0.8,1,0.4,0.6300775270043563,1,order
100,30,0.001,0,0.8,1,0.5,0.6267113010222767,1,order
100,30,0.001,0,0.8,1,0.6,0.6240130583545218,1,order
100,30,0.001,0,0.8,1,0.7,0.6202550616818909,1,order
100,30,0.01,0,0.8,1,0.4,0.6278161288466166,1,order
100,30,0.01,0,0.8,1,0.5,0.6275365705426681,1,order
100,30,0.01,0,0.8,1,0.6,0.622990171356025,1,order
100,30,0.01,0,0.8,1,0.7,0.6190091851433315,1,order
